Date Retail,Year Retail,Quarter Retail,Month Number Retail,Week Retail,Month Name Retail,Week Number of Month Retail
2/2/14 0:00,2014,1,1,1,Feb,1
2/3/14 0:00,2014,1,1,1,Feb,1
2/4/14 0:00,2014,1,1,1,Feb,1
2/5/14 0:00,2014,1,1,1,Feb,1
2/6/14 0:00,2014,1,1,1,Feb,1
2/7/14 0:00,2014,1,1,1,Feb,1
2/8/14 0:00,2014,1,1,1,Feb,1
2/9/14 0:00,2014,1,1,2,Feb,2
2/10/14 0:00,2014,1,1,2,Feb,2
2/11/14 0:00,2014,1,1,2,Feb,2
2/12/14 0:00,2014,1,1,2,Feb,2
2/13/14 0:00,2014,1,1,2,Feb,2
2/14/14 0:00,2014,1,1,2,Feb,2
2/15/14 0:00,2014,1,1,2,Feb,2
2/16/14 0:00,2014,1,1,3,Feb,3
2/17/14 0:00,2014,1,1,3,Feb,3
2/18/14 0:00,2014,1,1,3,Feb,3
2/19/14 0:00,2014,1,1,3,Feb,3
2/20/14 0:00,2014,1,1,3,Feb,3
2/21/14 0:00,2014,1,1,3,Feb,3
2/22/14 0:00,2014,1,1,3,Feb,3
2/23/14 0:00,2014,1,1,4,Feb,4
2/24/14 0:00,2014,1,1,4,Feb,4
2/25/14 0:00,2014,1,1,4,Feb,4
2/26/14 0:00,2014,1,1,4,Feb,4
2/27/14 0:00,2014,1,1,4,Feb,4
2/28/14 0:00,2014,1,1,4,Feb,4
3/1/14 0:00,2014,1,1,4,Feb,4
3/2/14 0:00,2014,1,2,5,Mar,1
3/3/14 0:00,2014,1,2,5,Mar,1
3/4/14 0:00,2014,1,2,5,Mar,1
3/5/14 0:00,2014,1,2,5,Mar,1
3/6/14 0:00,2014,1,2,5,Mar,1
3/7/14 0:00,2014,1,2,5,Mar,1
3/8/14 0:00,2014,1,2,5,Mar,1
3/9/14 0:00,2014,1,2,6,Mar,2
3/10/14 0:00,2014,1,2,6,Mar,2
3/11/14 0:00,2014,1,2,6,Mar,2
3/12/14 0:00,2014,1,2,6,Mar,2
3/13/14 0:00,2014,1,2,6,Mar,2
3/14/14 0:00,2014,1,2,6,Mar,2
3/15/14 0:00,2014,1,2,6,Mar,2
3/16/14 0:00,2014,1,2,7,Mar,3
3/17/14 0:00,2014,1,2,7,Mar,3
3/18/14 0:00,2014,1,2,7,Mar,3
3/19/14 0:00,2014,1,2,7,Mar,3
3/20/14 0:00,2014,1,2,7,Mar,3
3/21/14 0:00,2014,1,2,7,Mar,3
3/22/14 0:00,2014,1,2,7,Mar,3
3/23/14 0:00,2014,1,2,8,Mar,4
3/24/14 0:00,2014,1,2,8,Mar,4
3/25/14 0:00,2014,1,2,8,Mar,4
3/26/14 0:00,2014,1,2,8,Mar,4
3/27/14 0:00,2014,1,2,8,Mar,4
3/28/14 0:00,2014,1,2,8,Mar,4
3/29/14 0:00,2014,1,2,8,Mar,4
